What is the total savings opportunity of those departments?,,,,,,
"Of those departments from 2, take the average Salary per FTE (AVG Salaries / AVG Total FTEs) * AVERAGE of  Actual v Flex Productive FTE Variance = Savings",,,,,,
Facility,Department,AVERAGE of  Flex /Actual Percentage ,AVERAGE of  Actual v Flex Productive FTE Variance ,AVERAGE of  Actual Total FTEs ,AVERAGE of  Total Salaries ,Savings
10000,3B,0%,0.00,0.17,"$13,006",
10000,3C,0%,0.00,0.00,#DIV/0!,
10000,4 Pavilion,94%,-1.96,40.03,"$3,049,668",
10000,5 Pavilion,84%,-5.03,40.56,"$3,087,070","$383,016"
10000,5C,119%,5.85,33.55,"$2,534,739",
10000,6A,0%,0.00,0.00,#DIV/0!,
10000,6C,113%,3.95,35.18,"$2,757,535",
10000,Administration,109%,0.19,2.66,"$199,803",
10000,Administration HC,84%,-0.03,0.20,"$15,369",
10000,Admissions,138%,1.15,4.15,"$311,594",
10000,Bariatric Surgery Program,148%,0.78,2.90,"$217,543",
10000,Breast Diagnostic Services,98%,-0.11,7.85,"$599,034",
10000,Breast Surgery Fellows,91%,-0.21,2.26,"$169,542",
10000,Business Office,107%,0.22,3.70,"$298,241",
10000,Cancer Registry,97%,-0.08,3.07,"$230,584",
10000,Cardiac Cath Lab,153%,11.33,23.98,"$1,915,227",
10000,Cardiac Rehab OP HC,53%,-1.01,2.33,"$174,476",
10000,Cardiac Rehabilitation,87%,-0.40,3.57,"$267,472",
10000,Cardiac Thoracic ICU,125%,5.73,28.28,"$2,238,436",
10000,Cardiology,108%,0.68,9.05,"$689,230",
10000,Cardiology OP HC,127%,0.67,2.76,"$207,183",
10000,Case Mangement,93%,-1.48,24.42,"$1,842,734",
10000,Cashiering,108%,0.12,1.64,"$123,087",
10000,CAT Scan,114%,1.24,9.50,"$777,815",
10000,CCOP,206%,0.65,0.61,"$46,108",
10000,Central Sterile Supply,110%,2.35,26.13,"$2,176,309",
10000,Central Transport,79%,-2.95,15.65,"$1,288,002",
10000,Chaplaincy,124%,0.17,1.03,"$76,927",
10000,Clinical Decision Unit,125%,4.74,23.75,"$1,811,099",
10000,Community Services,128%,1.53,6.12,"$458,655",
10000,Continuing Medical Education,89%,-0.09,0.82,"$61,477",
10000,Delivery Rooms,78%,-5.10,28.45,"$2,172,937","$389,122"
10000,Development,78%,-0.75,3.38,"$253,592",
10000,Development Capital Campaign,122%,0.34,1.54,"$115,269",
10000,Diabetes Management HC,113%,0.28,2.19,"$164,380",
10000,Diagnostic Radiology,102%,0.28,14.91,"$1,118,496",
10000,Division of Surgery,0%,0.51,0.00,#DIV/0!,
10000,E/R Registration,76%,-3.07,14.67,"$1,132,677","$237,113"
10000,Emergency Room,83%,-10.71,71.20,"$5,514,801","$829,889"
10000,Employeearmacy,76%,-4.19,17.88,"$1,482,183","$346,921"
10000,Endoscopy,102%,0.11,10.07,"$778,825",
10000,Executive Office,100%,0.00,2.87,"$215,146",
10000,Family Medicine Residents,93%,-1.12,15.37,"$1,152,671",
10000,Food Service,102%,1.03,60.45,"$4,679,725",
10000,Former Employees,0%,0.00,1.02,"$76,846",
10000,General Radiology,104%,0.28,8.67,"$650,676",
10000,Hospitality,78%,-1.29,5.74,"$433,461",
10000,Housekeeping,103%,1.85,65.04,"$5,336,100",
10000,Human Resources,95%,-0.29,6.78,"$508,733",
10000,Intensive Care Nursery,117%,3.12,22.37,"$1,690,295",
10000,Intensive Care Unit,97%,-1.45,52.90,"$4,033,900",
10000,Interns and Residents,112%,0.11,0.92,"$69,162",
10000,IV Therapy,97%,-0.31,11.35,"$880,303",
10000,JLL Maintenance,110%,2.16,25.57,"$1,929,727",
10000,Laundry,194%,1.44,1.54,"$122,954",
10000,Mammography OP HC,77%,-0.40,2.26,"$169,389",
10000,Marketing,0%,0.00,0.00,#DIV/0!,
10000,Medical Library,93%,-0.08,1.23,"$92,215",
10000,Medical Office Bldg HC,251%,0.73,0.61,"$45,614",
10000,Monitor Techs,100%,-0.02,14.25,"$1,186,596",
10000,Mother / Baby Unit,77%,-5.20,27.78,"$2,115,453","$396,175"
10000,MRI Center,99%,-0.03,3.35,"$258,525",
10000,Neuro Interventional Lab,123%,1.06,5.78,"$523,449",
10000,Neurology,101%,0.01,2.18,"$163,814",
10000,Nuclear Medicine,106%,0.10,1.83,"$145,327",
10000,Nurse Residents,70%,-0.12,0.97,"$72,940",
10000,Nursing Administration,88%,-2.09,19.75,"$1,509,988",
10000,Nursing Resource Team,15%,-0.22,1.97,"$148,091",
10000,Oncology,90%,-0.57,6.24,"$468,325",
10000,One on One Staffing,129%,3.76,14.14,"$1,266,387",
10000,OP Admin. Radiology Clerical,77%,-0.26,1.13,"$85,011",
10000,OP Cat Scan,91%,-0.18,2.10,"$175,505",
10000,OP Diagnostic Radiology,72%,-0.42,1.69,"$126,687",
10000,OP Registration and Admin.,81%,-3.53,21.39,"$1,655,838","$272,959"
10000,OP Ultrasound,104%,0.07,2.19,"$167,198",
10000,Operating Room,108%,4.49,69.98,"$5,462,317",
10000,Ophthalmic Service,0%,-0.04,0.04,"$2,882",
10000,OR Scheduling,384%,2.62,1.02,"$76,719",
10000,Pediatrics,101%,0.11,15.85,"$1,188,976",
10000,Pediatrics / Neonatology Off,120%,0.26,1.73,"$131,338",
10000,Perinatal Testing Center,113%,0.47,3.88,"$292,621",
10000,Pharmacy,110%,3.85,44.85,"$3,509,753",
10000,Physical Medicine,99%,-0.12,18.23,"$1,459,804",
10000,PM and R OP HC,118%,1.04,6.82,"$512,373",
10000,Podiatry Residents,102%,0.16,9.85,"$738,924",
10000,Pre-Admission Testing,113%,1.55,14.42,"$1,082,047",
10000,Psychiatric Unit,89%,-2.96,32.16,"$2,458,070",
10000,Pulmonary-Cardio,81%,-0.50,2.92,"$218,710",
10000,Quality Management,167%,0.94,1.79,"$134,438",
10000,Quality Outcomes,136%,1.03,3.18,"$238,362",
10000,Radiation Therapy,105%,0.42,9.57,"$718,098",
10000,Radiation Therapy OP HC,125%,1.42,6.87,"$515,350",
10000,Radiology OP CAT Scan HC,99%,-0.02,1.56,"$117,358",
10000,Radiology OP Diagno XRay HC,91%,-0.10,1.09,"$81,649",
10000,Radiology OP Ultrasound HC,115%,0.16,1.15,"$86,084",
10000,Radiology Residents,121%,3.04,14.34,"$1,075,804",
10000,Radiology Special,86%,-1.10,8.66,"$693,116",
10000,Recovery Room,139%,9.17,28.68,"$2,255,275",
10000,Registration HC,50%,-2.62,5.33,"$401,115",
10000,Resp. Therapy School,97%,-0.14,4.81,"$361,113",
10000,Respiratory Therapy,111%,2.51,26.89,"$2,025,065",
10000,Risk Management,0%,0.87,1.02,"$76,846",
10000,Security,132%,5.74,22.24,"$1,764,344",
10000,Service Center,104%,0.11,2.74,"$205,899",
10000,Sleep Study OP HC,108%,0.27,3.33,"$249,643",
10000,Staff Development,98%,-0.16,9.42,"$706,858",
10000,Staffing Office,87%,-0.44,3.44,"$283,639",
10000,Supply Chain Management,91%,-1.41,16.69,"$1,277,206",
10000,Surgicenter,65%,-0.32,0.93,"$75,166",
10000,Telemetry 2,107%,2.54,43.38,"$3,324,482",
10000,Thoracic and Cardio Surg,255%,0.80,0.51,"$38,423",
10000,TMS Therapy,0%,0.00,0.00,#DIV/0!,
10000,Transfer Center,5%,-1.80,2.01,"$150,703",
10000,Ultrasound,97%,-0.16,6.10,"$470,932",
10000,Volunteers,84%,-0.15,0.94,"$70,843",
10000,Wound Healing Center,94%,-0.15,3.28,"$246,130",
11000,1 Pavilion,115%,6.70,51.55,"$3,935,545",
11000,1 South,104%,1.63,44.76,"$3,531,877",
11000,1 SW,104%,1.30,35.54,"$2,747,640",
11000,2 Pavilion,104%,1.94,55.06,"$4,245,512",
11000,2 Pavilion Stepdown,106%,1.63,30.21,"$2,353,372",
11000,2 Rosengarten,107%,1.65,26.95,"$2,059,116",
11000,2 South,104%,1.17,37.58,"$2,924,357",
11000,2 Southwest,107%,2.43,39.07,"$3,122,571",
11000,3 East,97%,-0.44,16.25,"$1,293,271",
11000,3 South,107%,2.57,44.34,"$3,456,735",
11000,3 Southwest,107%,2.82,45.59,"$3,568,831",
11000,4 SW,205%,10.22,10.05,"$850,105",
11000,6 West,148%,2.97,6.95,"$523,650",
11000,Administration,85%,-0.33,2.23,"$175,967",
11000,Admissions,124%,1.61,9.27,"$697,511",
11000,Annenberg Conference Center,120%,0.15,1.03,"$76,927",
11000,Antenatal Unit,241%,8.06,6.29,"$512,281",
11000,Breast Diagnostic Services,57%,-1.64,3.87,"$293,406",
11000,Business Office,98%,-0.05,4.20,"$321,151",
11000,Cancer Registry,98%,-0.11,8.39,"$628,908",
11000,Cardiac Cath Lab,119%,5.24,33.46,"$2,557,686",
11000,Cardiac Rehabilitation,121%,0.33,1.68,"$126,307",
11000,Cardiology,106%,1.25,27.36,"$2,129,206",
11000,Cardiovascular Fellows,99%,-0.11,13.53,"$1,014,849",
11000,Case Mangement,105%,1.15,31.77,"$2,444,526",
11000,Cashiering,107%,0.12,2.05,"$153,704",
11000,CAT Scan,106%,1.06,19.92,"$1,587,567",
11000,Central Sterile Supply,93%,-1.58,25.28,"$2,254,532",
11000,Central Transport,109%,1.31,16.80,"$1,362,102",
11000,CICU,109%,6.85,92.70,"$7,006,472",
11000,Clinic Medicine,71%,-2.51,9.17,"$696,089",
11000,Clinical Cardiac EP Fellows,100%,0.00,1.13,"$84,531",
11000,Clinics,89%,-0.82,9.73,"$729,590",
11000,Colorectal Surgery Fellows,100%,0.00,1.13,"$84,531",
11000,Community Services,101%,0.04,4.27,"$320,459",
11000,Continuing Medical Education,96%,-0.04,1.02,"$76,719",
11000,Delivery Rooms,106%,2.48,48.28,"$3,727,370",
11000,Development,65%,-1.49,4.56,"$342,085",
11000,Development Capital Campaign,0%,1.17,0.00,#DIV/0!,
11000,Diabetes Management Program,143%,0.88,2.07,"$155,854",
11000,Diagnostic Radiology,106%,1.52,29.26,"$2,293,847",
11000,Division of Medicine,102%,0.00,0.20,"$14,649",
11000,Division of OB/GYN,92%,-0.25,3.59,"$269,619",
