Pay Period,Facility,Cost Center,Department,Statistic,Target Hours per Statistic,Productive Hours,Actual Statistic,Hours Earned,Hours per UOS, Actual Productive FTEs , Flex Productive FTEs , Flex /Actual Percentage , Actual v Flex Productive FTE Variance , Actual Non-Productive FTEs , Budget Non-Productive FTEs , Actual v Bud Non-Productive FTE Variance , Actual Total FTEs , Premium Pay Percentage , Total Salaries , Budget Cost per UoS , Actual Cost per UoS 
1,10000,1000,Psychiatric Unit,Equivalent Patient Days,7.83,"2,072",237,"1,852", 8.8 ,25.89,23.15,89%,-2.74,3.92,5.14,1.22,29.81,2.20%,"$2,278,781","$8,452","$9,633"
1,10000,1001,Mother / Baby Unit,Equivalent Patient Days,11.15,"1,710",119,"1,324", 14.40 ,21.37,16.55,77%,-4.82,4.38,5.47,1.09,25.75,1.87%,"$1,961,466","$12,595","$16,518"
1,10000,1003,Delivery Rooms,Delivery,27.23,"1,749",50,"1,371", 34.74 ,21.86,17.14,78%,-4.72,4.52,3.43,-1.09,26.38,2.21%,"$2,014,816","$30,806","$40,016"
1,10000,1005,Perinatal Testing Center,Test/Procedures ,0.70,275,444,310, 0.62 ,3.43,3.87,113%,0.43,0.17,0.44,0.27,3.60,0.49%,"$271,640",$686,$612
1,10000,1006,Pediatrics,Equivalent Patient Days,18.43,867,48,875, 18.25 ,10.84,10.94,101%,0.10,3.86,2.21,-1.65,14.70,0.00%,"$1,102,416","$23,431","$23,209"
1,10000,1007,Intensive Care Nursery,Equivalent Patient Days,13.12,"1,364",122,"1,595", 11.22 ,17.05,19.94,117%,2.89,3.69,2.90,-0.79,20.74,0.92%,"$1,567,177","$14,962","$12,888"
1,10000,1009,Telemetry 2,Equivalent Patient Days,9.30,"2,586",298,"2,774", 8.67 ,32.32,34.68,107%,2.36,7.90,0.00,-7.90,40.22,2.72%,"$3,082,400","$10,850","$10,333"
1,10000,1013,Cardiac Thoracic ICU,Equivalent Patient Days,15.51,"1,712",138,"2,137", 12.43 ,21.40,26.71,125%,5.31,4.82,6.73,1.91,26.22,6.79%,"$2,075,200","$17,816","$15,065"
1,10000,1014,Intensive Care Unit,Equivalent Patient Days,16.79,"3,170",182,"3,062", 17.38 ,39.63,38.28,97%,-1.35,9.42,8.36,-1.06,49.05,2.08%,"$3,740,449","$19,482","$20,507"
1,10000,1021,6C,Equivalent Patient Days,9.19,"2,186",270,"2,479", 8.10 ,27.33,30.99,113%,3.67,5.29,0.00,-5.29,32.62,5.38%,"$2,556,540","$10,283","$9,476"
1,10000,1022,5C,Equivalent Patient Days,11.09,"2,242",241,"2,676", 9.29 ,28.02,33.45,119%,5.43,3.09,5.30,2.21,31.11,0.81%,"$2,350,448","$11,543","$9,741"
1,10000,1023,3B,Equivalent Patient Days,9.19,0,0,0, 0.00 ,0.00,0.00,0%,0.00,0.16,7.69,7.53,0.16,0.00%,"$12,000",$0,$0
1,10000,1024,3C,Equivalent Patient Days,10.12,0,0,0, 0.00 ,0.00,0.00,0%,0.00,0.00,4.36,4.36,0.00,0.00%,#DIV/0!,$0,$0
1,10000,1029,6A,Equivalent Patient Days,9.56,0,0,0, 0.00 ,0.00,0.00,0%,0.00,0.00,0.00,0.00,0.00,0.00%,#DIV/0!,$0,$0
1,10000,1031,Clinical Decision Unit,Equivalent Patient Days,13.33,"1,408",132,"1,760", 10.67 ,17.60,22.00,125%,4.40,4.42,2.11,-2.31,22.02,2.09%,"$1,679,445","$15,634","$12,718"
1,10000,1035,Nursing Resource Team,Total Adult Days,0.00,19,"2,257",3, 0.01 ,0.24,0.04,15%,-0.20,1.59,1.21,-0.38,1.83,0.00%,"$137,063",$9,$61
1,10000,1049,One on One Staffing,Total Adult Days,0.55,968,"2,257","1,247", 0.43 ,12.10,15.59,129%,3.49,1.01,0.84,-0.17,13.11,21.01%,"$1,173,970",$561,$520
1,10000,1052,Monitor Techs,Calendar Days,70.08,933,13,0, 70.18 ,11.67,11.65,100%,-0.02,1.55,1.12,-0.43,13.22,12.46%,"$1,100,363","$74,429","$82,734"
1,10000,1090,4 Pavilion,Equivalent Patient Days,9.15,"2,570",265,"2,424", 9.70 ,32.12,30.30,94%,-1.82,5.00,8.02,3.02,37.12,1.82%,"$2,827,880","$9,909","$10,669"
1,10000,1091,5 Pavilion,Equivalent Patient Days,8.87,"2,380",226,"2,007", 10.53 ,29.75,25.08,84%,-4.67,7.86,7.04,-0.82,37.61,1.89%,"$2,862,613","$10,518","$12,661"
